stepCount,EnvironmentSiteOutdoorAirDrybulbTemperature,EnvironmentSiteExteriorHorizontalSkyIlluminance,Block1:Zone1_DaylCtrlDaylightingReferencePoint1Illuminance,EMSwarmUpComplete,Block1:Zone1ZoneMeanRadiantTemperature,EMSepTimeStep,Block1:Zone1ZoneAirRelativeHumidity,EnvironmentSiteRainStatus,Block1:Zone1ZoneMeanAirTemperature,Block1:Zone1NumberOfOccupants,Block1:Zone1BlindFraction,Block1:Zone1AverageGains,Block1:Zone1WindowState0,Block1:Zone1LightState
10,-0.60000,9096.16309,0.00000,1.00000,9.15122,10.00000,42.65490,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,0.10000,12498.61426,0.00000,1.00000,9.43326,11.00000,42.67758,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,0.90000,17936.72852,0.00000,1.00000,9.68961,12.00000,42.94325,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,1.60000,9087.24219,0.00000,1.00000,9.51344,13.00000,43.34686,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,1.80000,8498.52246,0.00000,1.00000,9.46937,14.00000,43.87550,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,2.00000,6495.66943,0.00000,1.00000,9.42393,15.00000,44.38188,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,2.20000,3562.21851,0.00000,1.00000,9.36540,16.00000,44.89776,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,1.90000,735.26709,0.00000,1.00000,9.29465,17.00000,45.45430,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,1.50000,0.00000,0.00000,1.00000,9.23975,18.00000,45.85793,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,1.20000,0.00000,0.00000,1.00000,9.19905,19.00000,46.15804,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,0.70000,0.00000,0.00000,1.00000,9.16393,20.00000,46.33125,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,0.30000,0.00000,0.00000,1.00000,9.13593,21.00000,46.37657,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,-0.20000,0.00000,0.00000,1.00000,9.11127,22.00000,46.32111,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,-0.50000,0.00000,0.00000,1.00000,9.09073,23.00000,46.18859,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,-0.70000,0.00000,0.00000,1.00000,9.07305,24.00000,46.00588,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,-1.00000,0.00000,0.00000,1.00000,9.05569,1.00000,45.77190,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,-1.20000,0.00000,0.00000,1.00000,9.03914,2.00000,45.50140,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,-1.30000,0.00000,0.00000,1.00000,9.02354,3.00000,45.21751,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,-1.50000,0.00000,0.00000,1.00000,9.00565,4.00000,44.89832,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,-2.00000,0.00000,0.00000,1.00000,8.97155,5.00000,44.50430,0.00000,10.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,-2.50000,0.00000,0.00000,1.00000,8.93445,6.00000,22.77105,0.00000,20.42130,0.00000,0.00000,0.00000,0.00000,0.00000
31,-3.00000,0.00000,0.00000,1.00000,11.30679,7.00000,21.89705,0.00000,20.85855,0.00000,0.00000,0.00000,0.00000,0.00000
32,-2.30000,0.00000,0.00000,1.00000,12.53760,8.00000,21.79438,0.00000,20.97606,0.00000,0.00000,0.00000,0.00000,0.00000
33,-1.70000,1013.08679,0.00000,1.00000,13.26261,9.00000,22.04258,0.00000,20.99287,0.00000,0.00000,0.00000,0.00000,0.00000
34,-1.00000,5764.39355,0.00000,1.00000,13.80945,10.00000,22.71964,0.00000,20.99805,0.00000,0.00000,0.00000,0.00000,0.00000
35,1.00000,13389.26855,0.00000,1.00000,14.28417,11.00000,23.53212,0.00000,20.99950,0.00000,0.00000,0.00000,0.00000,0.00000
36,3.10000,16982.50977,0.00000,1.00000,14.71621,12.00000,24.41408,0.00000,20.99988,0.00000,0.00000,0.00000,0.00000,0.00000
37,5.10000,17878.01758,0.00000,1.00000,15.09848,13.00000,25.17081,0.00000,20.99997,0.00000,0.00000,0.00000,0.00000,0.00000
38,5.10000,14326.76758,0.00000,1.00000,15.41387,14.00000,25.94663,0.00000,20.99999,0.00000,0.00000,0.00000,0.00000,0.00000
39,5.10000,13957.92676,0.00000,1.00000,15.68400,15.00000,26.98245,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,5.10000,9313.56348,0.00000,1.00000,15.89656,16.00000,28.08429,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,3.00000,2549.40918,0.00000,1.00000,16.01945,17.00000,29.28947,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,2.20000,0.00000,0.00000,1.00000,16.13470,18.00000,29.70845,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,1.40000,0.00000,0.00000,1.00000,16.25674,19.00000,29.62529,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44,1.00000,0.00000,0.00000,1.00000,16.19804,20.00000,37.06427,0.00000,17.03107,0.00000,0.00000,0.00000,0.00000,0.00000
45,0.60000,0.00000,0.00000,1.00000,15.43225,21.00000,40.57899,0.00000,15.32192,0.00000,0.00000,0.00000,0.00000,0.00000
46,0.20000,0.00000,0.00000,1.00000,14.90459,22.00000,41.78961,0.00000,14.65633,0.00000,0.00000,0.00000,0.00000,0.00000
47,0.80000,0.00000,0.00000,1.00000,14.55818,23.00000,42.22478,0.00000,14.28534,0.00000,0.00000,0.00000,0.00000,0.00000
48,1.30000,0.00000,0.00000,1.00000,14.30808,24.00000,41.97069,0.00000,13.86688,0.00000,0.00000,0.00000,0.00000,0.00000
49,1.90000,0.00000,0.00000,1.00000,14.10797,1.00000,41.48608,0.00000,13.55970,0.00000,0.00000,0.00000,0.00000,0.00000
50,2.00000,0.00000,0.00000,1.00000,13.92501,2.00000,40.79740,0.00000,13.32213,0.00000,0.00000,0.00000,0.00000,0.00000
51,2.10000,0.00000,0.00000,1.00000,13.76924,3.00000,40.30568,0.00000,13.08621,0.00000,0.00000,0.00000,0.00000,0.00000
52,2.20000,0.00000,0.00000,1.00000,13.61964,4.00000,40.06756,0.00000,12.88337,0.00000,0.00000,0.00000,0.00000,0.00000
53,2.60000,0.00000,0.00000,1.00000,13.48186,5.00000,40.03837,0.00000,12.78371,0.00000,0.00000,0.00000,0.00000,0.00000
54,2.90000,0.00000,0.00000,1.00000,13.36093,6.00000,24.33810,0.00000,20.72485,0.00000,0.00000,0.00000,0.00000,0.00000
55,3.30000,0.00000,0.00000,1.00000,14.73863,7.00000,24.02515,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56,4.40000,0.00000,0.00000,1.00000,15.56080,8.00000,24.31621,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
57,5.40000,908.35077,0.00000,1.00000,16.02251,9.00000,24.89643,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
58,6.50000,4563.31982,0.00000,1.00000,16.36086,10.00000,26.16895,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
59,7.40000,8784.06445,0.00000,1.00000,16.63064,11.00000,27.57088,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
60,8.30000,10299.13672,0.00000,1.00000,16.85775,12.00000,28.89054,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
61,9.20000,9201.29980,0.00000,1.00000,17.00311,13.00000,29.71214,1.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
62,8.30000,8612.46387,0.00000,1.00000,17.17588,14.00000,30.62051,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,7.40000,6609.30469,0.00000,1.00000,17.31651,15.00000,32.11580,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
64,6.50000,3676.16309,0.00000,1.00000,17.42150,16.00000,33.86082,1.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
65,6.30000,738.12500,0.00000,1.00000,17.53554,17.00000,35.42780,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
66,6.20000,0.00000,0.00000,1.00000,17.62479,18.00000,36.11472,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
67,6.00000,0.00000,0.00000,1.00000,17.70883,19.00000,36.11906,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
68,5.60000,0.00000,0.00000,1.00000,17.60161,20.00000,41.23384,0.00000,18.38086,0.00000,0.00000,0.00000,0.00000,0.00000
69,5.30000,0.00000,0.00000,1.00000,17.07970,21.00000,43.86195,0.00000,16.76144,0.00000,0.00000,0.00000,0.00000,0.00000
70,4.90000,0.00000,0.00000,1.00000,16.65812,22.00000,43.20718,0.00000,16.13072,0.00000,0.00000,0.00000,0.00000,0.00000
71,4.70000,0.00000,0.00000,1.00000,16.36926,23.00000,40.59225,0.00000,15.84186,0.00000,0.00000,0.00000,0.00000,0.00000
72,4.50000,0.00000,0.00000,1.00000,16.16431,24.00000,37.78772,0.00000,15.66141,0.00000,0.00000,0.00000,0.00000,0.00000
73,4.30000,0.00000,0.00000,1.00000,15.93822,1.00000,35.77180,1.00000,15.47040,0.00000,0.00000,0.00000,0.00000,0.00000
74,3.70000,0.00000,0.00000,1.00000,15.81559,2.00000,34.20912,0.00000,15.42909,0.00000,0.00000,0.00000,0.00000,0.00000
75,3.20000,0.00000,0.00000,1.00000,15.67940,3.00000,33.38703,0.00000,15.36126,0.00000,0.00000,0.00000,0.00000,0.00000
76,2.60000,0.00000,0.00000,1.00000,15.54928,4.00000,33.06396,0.00000,15.25217,0.00000,0.00000,0.00000,0.00000,0.00000
77,2.10000,0.00000,0.00000,1.00000,15.42344,5.00000,33.03454,0.00000,15.11047,0.00000,0.00000,0.00000,0.00000,0.00000
78,1.70000,0.00000,0.00000,1.00000,15.29937,6.00000,22.88044,0.00000,20.93418,0.00000,0.00000,0.00000,0.00000,0.00000
79,1.20000,0.00000,0.00000,1.00000,16.19661,7.00000,22.75966,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
80,1.70000,0.00000,0.00000,1.00000,16.80047,8.00000,22.98977,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
81,2.20000,479.35315,0.00000,1.00000,17.12733,9.00000,23.57035,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
82,2.70000,4673.39844,0.00000,1.00000,17.37091,10.00000,24.86412,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
83,2.90000,10257.68359,0.00000,1.00000,17.56498,11.00000,26.46365,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
84,3.20000,13999.23145,0.00000,1.00000,17.73296,12.00000,28.24539,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
85,3.40000,15908.05078,0.00000,1.00000,17.87230,13.00000,29.68963,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
86,3.00000,15003.53223,0.00000,1.00000,17.98747,14.00000,31.05439,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
87,2.60000,11619.77344,0.00000,1.00000,18.08452,15.00000,32.88984,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
88,2.20000,6466.22852,0.00000,1.00000,18.15125,16.00000,34.94123,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
89,2.10000,1407.18665,0.00000,1.00000,18.20089,17.00000,36.89971,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
90,2.00000,0.00000,0.00000,1.00000,18.23209,18.00000,37.62408,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
91,1.90000,0.00000,0.00000,1.00000,18.26750,19.00000,37.27382,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
92,2.00000,0.00000,0.00000,1.00000,18.12414,20.00000,41.35120,0.00000,18.87838,0.00000,0.00000,0.00000,0.00000,0.00000
93,2.00000,0.00000,0.00000,1.00000,17.68274,21.00000,44.00821,0.00000,17.51092,0.00000,0.00000,0.00000,0.00000,0.00000
94,2.10000,0.00000,0.00000,1.00000,17.31929,22.00000,44.47402,0.00000,17.10681,0.00000,0.00000,0.00000,0.00000,0.00000
95,1.90000,0.00000,0.00000,1.00000,17.06343,23.00000,43.75670,0.00000,16.67570,0.00000,0.00000,0.00000,0.00000,0.00000
96,1.70000,0.00000,0.00000,1.00000,16.85285,24.00000,42.39629,0.00000,16.44077,1.00000,0.00000,92.98201,0.00000,1.00000
97,1.50000,0.00000,0.00000,1.00000,16.67159,1.00000,41.09600,0.00000,16.26965,1.00000,0.00000,93.80267,0.00000,1.00000
98,1.40000,0.00000,0.00000,1.00000,16.50807,2.00000,40.00728,0.00000,16.12234,1.00000,0.00000,94.51746,0.00000,1.00000
99,1.40000,0.00000,0.00000,1.00000,16.35682,3.00000,38.98878,0.00000,15.99678,1.00000,0.00000,95.15271,0.00000,1.00000
100,1.30000,0.00000,0.00000,1.00000,16.21456,4.00000,38.16692,0.00000,15.86236,1.00000,0.00000,95.77610,0.00000,1.00000
101,0.70000,0.00000,0.00000,1.00000,16.07181,5.00000,37.37084,0.00000,15.70903,1.00000,0.00000,96.44064,0.00000,1.00000
102,0.00000,0.00000,0.00000,1.00000,15.92517,6.00000,26.50980,0.00000,20.92928,1.00000,0.00000,85.62497,0.00000,1.00000
103,-0.60000,0.00000,0.00000,1.00000,16.67364,7.00000,25.85745,0.00000,21.00000,1.00000,0.00000,84.23156,0.00000,1.00000
104,-0.20000,0.00000,0.00000,1.00000,17.20464,8.00000,25.82355,0.00000,21.00000,1.00000,0.00000,83.30732,0.00000,1.00000
105,0.20000,1117.61938,0.00000,1.00000,17.48064,9.00000,26.31434,0.00000,21.00000,1.00000,0.00000,82.77148,0.00000,1.00000
106,0.60000,9095.23047,0.00000,1.00000,17.71802,10.00000,27.77470,0.00000,21.00000,1.00000,0.00000,82.20016,0.00000,1.00000
107,1.40000,12428.68457,0.00000,1.00000,17.92836,11.00000,29.51168,0.00000,21.00000,1.00000,0.00000,81.64643,0.00000,1.00000
108,2.20000,16504.04102,0.00000,1.00000,18.12889,12.00000,31.22399,0.00000,21.00000,1.00000,0.00000,81.11191,0.00000,1.00000
109,3.00000,18590.76953,0.00000,1.00000,18.30511,13.00000,32.34669,0.00000,21.00000,1.00000,0.00000,80.68189,0.00000,1.00000
110,3.10000,16932.87305,0.00000,1.00000,18.44821,14.00000,33.20967,0.00000,21.00000,1.00000,0.00000,80.33744,0.00000,1.00000
111,3.30000,14683.38574,0.00000,1.00000,18.56725,15.00000,34.57204,0.00000,21.00000,1.00000,0.00000,79.98271,0.00000,1.00000
112,3.40000,9346.43359,0.00000,1.00000,18.63666,16.00000,36.26721,0.00000,21.00000,1.00000,0.00000,79.68082,0.00000,1.00000
113,2.00000,2846.34326,0.00000,1.00000,18.63086,17.00000,37.82516,0.00000,21.00000,1.00000,0.00000,79.52690,0.00000,1.00000
114,1.00000,0.00000,0.00000,1.00000,18.60307,18.00000,38.03712,0.00000,21.00000,1.00000,0.00000,79.55389,0.00000,1.00000
115,0.10000,0.00000,0.00000,1.00000,18.58264,19.00000,37.24798,0.00000,21.00000,1.00000,0.00000,79.67333,0.00000,1.00000
116,-0.90000,0.00000,0.00000,1.00000,18.38671,20.00000,40.40599,0.00000,19.06318,1.00000,0.00000,84.27921,0.00000,1.00000
117,-1.80000,0.00000,0.00000,1.00000,17.92944,21.00000,43.01647,0.00000,17.51954,1.00000,0.00000,88.49813,0.00000,1.00000
118,-2.80000,0.00000,0.00000,1.00000,17.50005,22.00000,42.91232,0.00000,17.13238,1.00000,0.00000,90.17739,0.00000,1.00000
119,-2.50000,0.00000,0.00000,1.00000,17.23081,23.00000,41.07432,0.00000,16.75463,0.00000,0.00000,0.00000,0.00000,1.00000
120,-2.30000,0.00000,0.00000,1.00000,17.01207,24.00000,38.70005,0.00000,16.55487,0.00000,0.00000,0.00000,0.00000,1.00000
121,-2.00000,0.00000,0.00000,1.00000,16.83726,1.00000,36.73282,0.00000,16.42009,0.00000,0.00000,0.00000,0.00000,1.00000
122,-1.70000,0.00000,0.00000,1.00000,16.67734,2.00000,35.25918,0.00000,16.26446,0.00000,0.00000,0.00000,0.00000,1.00000
123,-1.30000,0.00000,0.00000,1.00000,16.53040,3.00000,34.10713,0.00000,16.12117,0.00000,0.00000,0.00000,0.00000,1.00000
124,-1.00000,0.00000,0.00000,1.00000,16.39098,4.00000,33.08128,0.00000,15.98906,0.00000,0.00000,0.00000,0.00000,1.00000
125,-0.80000,0.00000,0.00000,1.00000,16.26197,5.00000,32.18048,0.00000,15.87958,0.00000,0.00000,0.00000,0.00000,1.00000
126,-0.70000,0.00000,0.00000,1.00000,16.13816,6.00000,23.06345,0.00000,20.92961,1.00000,0.00000,85.61695,0.00000,1.00000
127,-0.50000,0.00000,0.00000,1.00000,16.87784,7.00000,22.54264,0.00000,21.00000,1.00000,0.00000,84.22474,0.00000,1.00000
128,-0.30000,0.00000,0.00000,1.00000,17.39313,8.00000,22.55757,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
129,0.00000,367.80026,0.00000,1.00000,17.66708,9.00000,23.07646,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
130,0.20000,2743.30298,0.00000,1.00000,17.86199,10.00000,24.62018,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
131,1.10000,7532.51172,0.00000,1.00000,18.02169,11.00000,26.47272,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
132,2.00000,12768.70117,0.00000,1.00000,18.17286,12.00000,28.33679,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
133,2.90000,16356.71680,0.00000,1.00000,18.31369,13.00000,29.72917,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
134,3.00000,15353.06250,0.00000,1.00000,18.42626,14.00000,30.84790,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
135,3.20000,11966.49805,0.00000,1.00000,18.51737,15.00000,32.39653,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
136,3.30000,6803.91357,0.00000,1.00000,18.57261,16.00000,34.15497,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
137,2.50000,2163.99414,0.00000,1.00000,18.59554,17.00000,35.84084,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
138,1.80000,0.00000,0.00000,1.00000,18.59560,18.00000,36.31064,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
139,1.00000,0.00000,0.00000,1.00000,18.59172,19.00000,35.79271,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,1.00000
140,0.10000,0.00000,0.00000,1.00000,18.40759,20.00000,38.87781,0.00000,19.10370,0.00000,0.00000,0.00000,0.00000,1.00000
141,-0.80000,0.00000,0.00000,1.00000,17.96212,21.00000,40.11959,0.00000,17.56972,0.00000,0.00000,0.00000,0.00000,1.00000
142,-1.70000,0.00000,0.00000,1.00000,17.54952,22.00000,40.38128,0.00000,17.20628,0.00000,0.00000,0.00000,0.00000,1.00000
143,-1.10000,0.00000,0.00000,1.00000,17.27883,23.00000,40.05162,0.00000,16.91965,0.00000,0.00000,0.00000,0.00000,1.00000
144,-0.40000,0.00000,0.00000,1.00000,17.07953,24.00000,39.21674,0.00000,16.68530,0.00000,0.00000,0.00000,0.00000,1.00000
145,0.20000,0.00000,0.00000,1.00000,16.91048,1.00000,38.09001,0.00000,16.55284,0.00000,0.00000,0.00000,0.00000,1.00000
146,0.30000,0.00000,0.00000,1.00000,16.75933,2.00000,37.12625,0.00000,16.41225,1.00000,0.00000,93.62960,0.00000,1.00000
147,0.30000,0.00000,0.00000,1.00000,16.62048,3.00000,36.24212,0.00000,16.26949,1.00000,0.00000,94.27290,0.00000,1.00000
148,0.40000,0.00000,0.00000,1.00000,16.48872,4.00000,35.50643,0.00000,16.14083,1.00000,0.00000,94.85806,0.00000,1.00000
149,-0.10000,0.00000,0.00000,1.00000,16.35171,5.00000,34.89003,0.00000,15.99173,1.00000,0.00000,95.48895,0.00000,1.00000
150,-0.70000,0.00000,0.00000,1.00000,16.21229,6.00000,34.27319,0.00000,15.83620,1.00000,0.00000,96.13754,0.00000,1.00000
151,-1.20000,0.00000,0.00000,1.00000,16.06837,7.00000,33.68430,0.00000,15.68277,1.00000,0.00000,96.78568,0.00000,1.00000
152,-0.50000,0.00000,0.00000,1.00000,15.93906,8.00000,33.13153,0.00000,15.58753,1.00000,0.00000,97.27094,0.00000,1.00000
153,0.10000,480.33319,0.00000,1.00000,15.82509,9.00000,32.69424,0.00000,15.50339,1.00000,0.00000,97.69468,0.00000,1.00000
154,0.80000,2742.80981,0.00000,1.00000,15.74724,10.00000,32.46939,0.00000,15.44874,1.00000,0.00000,97.97183,0.00000,1.00000
155,1.40000,6018.14160,0.00000,1.00000,15.70639,11.00000,32.30649,0.00000,15.41774,1.00000,0.00000,98.12582,0.00000,1.00000
156,2.10000,8379.41895,0.00000,1.00000,15.68719,12.00000,32.20696,0.00000,15.40441,1.00000,0.00000,98.19702,0.00000,1.00000
157,2.70000,9445.29004,0.00000,1.00000,15.62351,13.00000,32.40600,1.00000,15.31032,1.00000,0.00000,98.50814,0.00000,1.00000
158,2.80000,8969.67285,0.00000,1.00000,15.60448,14.00000,32.47004,0.00000,15.30744,1.00000,0.00000,98.54303,0.00000,1.00000
159,2.90000,6965.77344,0.00000,1.00000,15.53558,15.00000,32.79738,0.00000,15.23516,1.00000,0.00000,98.80392,0.00000,1.00000
160,3.00000,3917.70142,0.00000,1.00000,15.40296,16.00000,33.60590,1.00000,15.02634,1.00000,0.00000,99.45325,0.00000,1.00000
161,3.00000,860.43060,0.00000,1.00000,15.28852,17.00000,34.30636,0.00000,14.92648,1.00000,0.00000,99.82989,0.00000,1.00000
162,3.10000,0.00000,0.00000,1.00000,15.16954,18.00000,35.13791,0.00000,14.83934,1.00000,0.00000,100.17613,0.00000,1.00000
163,3.10000,0.00000,0.00000,1.00000,15.04965,19.00000,36.28744,1.00000,14.66572,1.00000,0.00000,100.70096,0.00000,1.00000
164,3.30000,0.00000,0.00000,1.00000,14.96887,20.00000,36.94571,0.00000,14.68412,1.00000,0.00000,100.75137,0.00000,1.00000
165,3.50000,0.00000,0.00000,1.00000,14.89153,21.00000,37.54836,0.00000,14.68601,1.00000,0.00000,100.83767,0.00000,1.00000
166,3.70000,0.00000,0.00000,1.00000,14.82443,22.00000,38.19963,0.00000,14.63582,1.00000,0.00000,101.02323,0.00000,1.00000
167,3.70000,0.00000,0.00000,1.00000,14.75052,23.00000,38.88414,0.00000,14.55333,1.00000,0.00000,101.29314,0.00000,1.00000
168,3.70000,0.00000,0.00000,1.00000,14.67989,24.00000,39.55166,0.00000,14.48107,1.00000,0.00000,101.53528,0.00000,1.00000
169,3.70000,0.00000,0.00000,1.00000,14.58485,1.00000,40.32193,1.00000,14.34850,1.00000,0.00000,101.95247,0.00000,1.00000
170,3.50000,0.00000,0.00000,1.00000,14.52482,2.00000,40.70831,0.00000,14.30888,1.00000,0.00000,102.12084,0.00000,1.00000
171,3.30000,0.00000,0.00000,1.00000,14.44170,3.00000,40.93141,0.00000,14.24539,1.00000,0.00000,102.39558,0.00000,1.00000
172,3.10000,0.00000,0.00000,1.00000,14.35431,4.00000,41.01307,0.00000,14.15764,1.00000,0.00000,102.74368,0.00000,1.00000
173,2.70000,0.00000,0.00000,1.00000,14.26252,5.00000,40.92984,0.00000,14.05215,1.00000,0.00000,103.15155,0.00000,1.00000
174,2.40000,0.00000,0.00000,1.00000,14.16956,6.00000,40.55719,0.00000,13.94950,1.00000,0.00000,103.57413,0.00000,1.00000
175,2.00000,0.00000,0.00000,1.00000,14.07767,7.00000,40.00185,0.00000,13.84752,1.00000,0.00000,104.00505,0.00000,1.00000
176,2.30000,0.00000,0.00000,1.00000,13.99677,8.00000,39.35361,0.00000,13.77099,1.00000,0.00000,104.36382,0.00000,1.00000
177,2.70000,806.48474,0.00000,1.00000,13.93658,9.00000,38.76239,0.00000,13.72472,1.00000,0.00000,104.61298,0.00000,1.00000
178,3.00000,4785.89941,0.00000,1.00000,13.93745,10.00000,38.24966,0.00000,13.72933,1.00000,0.00000,104.63498,0.00000,1.00000
179,3.00000,9123.89453,0.00000,1.00000,13.98390,11.00000,37.83851,0.00000,13.71561,1.00000,0.00000,104.61452,0.00000,1.00000
180,2.90000,10757.89551,0.00000,1.00000,14.00601,12.00000,37.59965,0.00000,13.64142,1.00000,0.00000,104.76349,0.00000,1.00000
181,2.90000,9560.03711,0.00000,1.00000,13.92173,13.00000,37.81248,1.00000,13.45314,1.00000,0.00000,105.32718,0.00000,1.00000
182,3.00000,16889.15820,0.00000,1.00000,14.13483,14.00000,36.90150,0.00000,13.83083,1.00000,0.00000,104.15345,0.00000,1.00000
183,3.20000,15190.15625,0.00000,1.00000,14.35787,15.00000,36.05241,0.00000,14.18756,1.00000,0.00000,103.00811,0.00000,1.00000
184,3.30000,9409.93945,0.00000,1.00000,14.37301,16.00000,35.86381,0.00000,14.29046,1.00000,0.00000,102.75849,0.00000,1.00000
